source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
Afterall there will be an endless battle between the technology and human mentality.,"After all, there will be an endless battle between the technology and human mentality.","3,4,3,4,3","3,4,3,4,3","3,4,4,4,3","lstm,cnn",3.4,3.4,3.6
"In addition, the national defense will be endangered if this tracking proposal is launched.","In addition, the national defense will be endangered if this tracking proposal is launched.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,copy-net,transformer,cnn",4.0,4.0,4.0
Rising life expectancies can be a challenge.,Rising life expectancy can be a challenge.,"3,4,4,4,3","4,4,4,4,3","3,4,3,4,3",copy-net,3.6,3.8,3.4
People in current era are described as demanding or having high level of life expectancies in another word.,People in the current era are described as demanding or having high standard of life expectancies in another word.,"3,4,2,3,2","2,4,2,2,2","2,4,3,4,2",lstm,2.8,2.4,3.0
"The surveillance is a useful method to keep society's safe, but also kills the privacy of people in some degree.","Surveillance is a useful method to keep society safe, but also kills the privacy of people in some degree.","3,4,3,3,3","3,4,2,3,3","2,4,2,4,3",cnn,3.2,3.0,3.0
"And once this happens, privacy does not exist any more and people's life is under great threaten.","And once this happens, privacy does not exist any more and people's lives are under great threat.","4,4,4,4,3","4,4,4,4,3","3,4,1,4,3","copy-net,transformer,cnn",3.8,3.8,3.0
The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people.,The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people.,"3,4,3,4,3","2,4,3,4,3","3,4,4,4,3","smt,lstm,copy-net,cnn",3.4,3.2,3.6
So the rising life expectancies can be regarded as a proof of what we have made to combat for ourselves.,So the rising life expectancy can be regarded as proof of what we have made to combat for ourselves.,"3,3,2,2,4","2,3,2,2,3","3,4,3,4,3","lstm,copy-net,cnn",2.8,2.4,3.4
"This would result in decrease in birth rate of a country which is a very serious problem,especially in more developed countries as the population has already reached a minimum.","This would result in a decrease in the birth rate of a country which is a very serious problem,especially in more developed countries as the population has already reached a minimum.","2,4,4,4,3","1,4,4,4,3","3,4,3,4,3",transformer,3.4,3.2,3.4
"Even if the safety is the most important thing to consider in normal life, many people still want to keep their privacy in spite of existing some potential danger.","Even if the safety is the most important thing to consider in normal life, many people still want to keep their privacy in spite of existing some potential danger.","3,3,2,2,3","2,3,2,2,3","3,4,4,4,3",smt,2.6,2.4,3.6
"Above all, the population aging will be a great challenge for the world for it drags the development of a society.","Above all, the aging population will be a great challenge for the world for it drags the development of society.","3,3,2,4,2","3,4,2,4,2","4,4,3,4,2",smt,2.8,3.0,3.4
"In modern world, many global issues have been appeared like global warming, concept of earth village and population.","In modern world, many global issues have appeared like global warming, concept of earth village and population.","3,3,2,3,3","2,3,2,2,3","4,4,4,4,3",copy-net,2.8,2.4,3.8
It is a country without any freedom and democracy in the novel.,It is a country without any freedom or democracy in the novel.,"3,4,1,4,4","3,4,1,3,3","4,4,3,4,3","copy-net,transformer",3.2,2.8,3.6
"Large quantities of energy are needed for the pesticides, and to harvest and transport the food produces around the globe.","Large quantities of energy are needed for pesticides, and to harvest and transport the food produces around the globe.","3,4,2,3,3","3,4,2,2,3","4,4,3,4,3",lstm,3.0,2.8,3.6
"Therefore, we need to continue on our striving as try our best to reduce the adverse impact that is carried.","Therefore, we need to continue on our striving to try our best to reduce the adverse impact that is carried.","3,4,1,2,4","2,4,1,2,3","3,4,4,4,3",cnn,2.8,2.4,3.6
This already raises up a problem of privacy leakage.,This has already raised a problem of privacy leakage.,"4,4,3,4,4","4,4,3,4,4","2,4,3,3,3",copy-net,3.8,3.8,3.0
"However, ageing population is a phenomenon opposite to it.","However, an ageing population is a phenomenon opposite to it.","3,4,3,4,3","3,4,3,4,3","3,4,3,4,3","lstm,copy-net,transformer",3.4,3.4,3.4
What we can do now is to try hard to solve the problems and in the same time appreciate its great meanings.,What we can do now is to try hard to solve the problems and at the same time appreciate its great meaning.,"3,4,2,3,3","3,4,3,3,3","3,4,3,4,3",smt,3.0,3.2,3.4
"Therefore, for ordinary people, there is no need for them to use this technology.","Therefore, for ordinary people, there is no need for them to use this technology.","3,4,3,4,3","2,4,3,3,3","3,4,4,4,3","smt,lstm,copy-net,transformer,cnn",3.4,3.0,3.6
The fact is that the current average life span is over 65 and the population aged 60 or over in developed and developing countries is increasing at 2% to 3% annually.,The fact is that the current average life span is over 65 and the population aged 60 or over in developed and developing countries is increasing at 2% to 3% annually.,"2,4,3,4,2","2,4,3,4,2","3,4,4,4,2","smt,copy-net,transformer,cnn",3.0,3.0,3.4
"In the United States, after the horrible attack on 11 September, the US congress passed the Patriot Act, which is mainly to increase domestic surveillance, to counter against the terrorists.","In the United States, after the horrible attack on 11 September, the US congress passed the patriot Act, which is mainly to increase domestic surveillance, to counter terrorists.","2,4,4,3,2","3,4,4,3,2","2,4,3,4,2",transformer,3.0,3.2,3.0
"When a person grows old, the medical needs of a person increase over the years relative to the age of a person.","When a person grows old, the medical needs of a person increases over the years relative to the age of a person.","3,4,2,4,3","2,4,2,4,3","3,4,3,4,3",smt,3.2,3.0,3.4
"Since this is happen more often in the country which is much larger than Singapore, it is even harder or maybe it is impossible for the parents to find the child back without knowing where the child has been brought to.","Since this happens more often in the country which is much larger than Singapore, it is even harder or maybe it is impossible for parents to find the child back without knowing where the child has been brought.","2,3,2,2,3","1,3,2,2,3","3,4,3,4,3",smt,2.4,2.2,3.4
There are kidnaps everywhere and not all of the family can afford the ransom that acquired by kidnappers.,There are kidnnaps everywhere and not all of the family can afford the ransom that is acquired by kidnappers.,"2,3,2,3,3","2,3,2,2,3","3,4,3,4,3",cnn,2.6,2.4,3.4
"With more perfect system with the old and more modern equipment, population ageing always comes first.","With a more perfect system with the old and more modern equipment, population ageing always comes first.","2,3,1,3,3","2,3,2,3,3","3,4,2,4,3","lstm,copy-net",2.4,2.6,3.2
"Thus, when a man with a 'terrorism tag' entering a junction or a plaza full of people police should notice this and observe the man's behavior as well as checking his package to prevent him from explode TNT.","Thus, when a man with a 'terrorism tag' enters a junction or a plaza full of people police should notice this and observe the man's behavior as well as checking his package to prevent him from exploding TNT.","3,4,3,3,3","3,4,2,3,3","3,4,2,4,3",copy-net,3.2,3.0,3.2
"After a certain age, they will have to retire.","After a certain age, they will have to retire.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",4.0,4.0,4.0
"The observation means that the more developed the countries, the longer the life span of citizens.","The observation means that the more developed countries, the longer lifespan of citizens.","3,4,3,4,3","3,4,2,3,3","3,4,3,4,3",smt,3.4,3.0,3.4
"Since RFID tags attached to the product can remain functional for a long period of time, it could be misused for surveillance purposed which are not related to the industries production or supply activities.","Since RFID tags attached to the product can remain functional for a long period of time, it could be misused for surveillance purposes which are not related to the industries production or supply activities.","3,4,3,3,3","3,4,3,3,3","3,4,3,4,3",lstm,3.2,3.2,3.4
"If our spiritual aspect of civilization cannot match our material aspect, old people will have a tough twilight years.","If our spiritual aspect of civilization cannot match our material aspects, old people will have a tough twilight years.","3,4,3,4,3","3,4,2,4,3","3,4,3,4,3",smt,3.4,3.2,3.4
"To sum up, with rising life expectancies, there exist both achievement and challenge.","To sum up, with rising life expectancies, both achievement and challenge exist.","3,4,3,4,3","3,4,3,4,3","2,4,3,4,3",transformer,3.4,3.4,3.2
This will inversely improve the sale of the shop.,This will inversely improve the sale of the shop.,"4,4,3,4,3","4,4,3,4,3","4,4,4,4,4","smt,cnn",3.6,3.6,4.0
"RFID, despite the fact that it may be considered as privacy infringement, is different from video surveillance.","RFID, despite the fact that it may be considered as privacy infringement, is different from video surveillance.","4,4,4,4,3","4,4,4,4,3","3,4,4,4,4","lstm,copy-net,cnn",3.8,3.8,3.8
"Because that the birth rate is reduced while the death rate is also reduced, the percentage of the elderly is increased while that of the youth is decreased.","Because the birth rate is reduced while the death rate is also reduced, the percentage of the elderly is increased while that of the young is decreased.","4,4,3,4,3","4,4,3,3,3","3,4,2,4,3",lstm,3.6,3.4,3.2
"To conclude, the population ageing phenomenon indeed shows our big achievement on economy, medical skills and living standard.","To conclude, the ageing population phenomenon indeed shows our big achievement in economy, medical skills and living standards.","4,4,3,4,3","4,4,3,3,3","3,4,3,4,3",transformer,3.6,3.4,3.4
"All in all, the RFID system is used to catch the information of the object and track.","All in all, the RFID system is used to catch information of the object and track.","2,4,3,3,3","2,4,3,2,3","3,4,3,4,3",lstm,3.0,2.8,3.4
"With the development of technology, we have more advanced method to track people in today's society.","With the development of technology, we have a more advanced method to track people in today's society.","4,4,3,4,3","4,4,3,4,3","3,4,3,4,3","lstm,copy-net,cnn",3.6,3.6,3.4
"After they release from the prison, the movement of their whole life is controlled and known by the government.","After they were released from prison, the movement of their whole life was controlled and known by the government.","3,4,3,3,4","3,4,2,3,4","2,4,3,4,4",copy-net,3.4,3.2,3.4
"When people start to age, many diseases will surface up un-noticing.","When people start to age, many diseases will surface up an un-noticing.","2,3,1,0,3","1,3,2,1,3","3,4,3,0,4",cnn,2.25,2.0,3.5
It is like a key that open up the gate of human body defend system and provide a cleared path for other disease to attack in.,It is like a key that opens up the gate of the human body defend system and provides a cleared path for another disease to attack in.,"2,3,3,3,2","2,3,2,2,2","3,4,3,4,4",transformer,2.6,2.2,3.6
"Initially, surveillance technology such as RFID (radio-frequency identification) is implanted into the body of animals.","Initially, surveillance technology such as RFID (radioactive frequency identification) was implanted into the body of animals.","4,4,3,4,3","4,4,3,4,3","3,4,3,3,3",transformer,3.6,3.6,3.2
"It is a break-through of technology and science, and an outstanding achievement of human wisdom.","It is a break-through technology and science, and an outstanding achievement of human wisdom.","4,4,3,4,3","4,4,3,4,3","3,4,2,4,4","lstm,cnn",3.6,3.6,3.4
"With the development of technology, we have more advanced method to track people in today's society.","With the development of technology, we have more advanced methods to track people in today's society.","4,4,3,4,3","4,4,3,4,3","3,4,3,4,4","smt,transformer",3.6,3.6,3.6
"In addition, tracking people system may be used by bad people in a wrong way.","In addition, tracking people system may be used by bad people in a wrong way.","2,4,3,3,3","2,4,2,2,3","3,4,4,4,4",smt,3.0,2.6,3.8
It is more secure for us because in potential sense we think with longer life expectancy it is harder for people to die out.,It is more secure for us because in potential sense we think with longer life expectancy it is harder for people to die out.,"2,3,1,2,3","2,4,2,2,3","3,4,4,4,3","lstm,transformer",2.2,2.6,3.6
"Besides, tracking people with potential danger will be helpful for the safety department to predict the harm and better avoid the problem.","Besides, tracking people with potential danger will be helpful for the safety department to predict the harm and better avoid the problem.","3,3,3,3,3","3,4,2,2,3","4,4,4,4,4","smt,copy-net,transformer,cnn",3.0,2.8,4.0
"The rising life expectancies may be due to several different reasons, for example, it may be because of the improvement of the living condition, or because of the upgrade of the cleanness of the living environment, or because of the wide arrange of nutrition that absorbed by the human, or because of the development of the medication system in the country.","The rising life expectancies may be due to several different reasons, for example, it may be because of the improvement of the living conditions, or because of the upgrading of the cleanness of the living environment, or because of the wide arrange of nutrition that is absorbed by the human, or because of the development of the medication system in the country.","3,3,3,3,3","3,3,2,2,3","4,4,3,4,4",lstm,3.0,2.6,3.8
Bad mood cannot give them a longer time of life.,Bad mood cannot give them a longer life.,"3,4,2,4,3","3,4,2,2,3","3,4,3,4,3","smt,lstm",3.2,2.8,3.4
Technology can be a very useful tool if being used in the correct manner.,Technology can be a very useful tool if being used in the correct manner.,"3,4,3,4,4","3,4,2,4,3","3,4,4,4,4","copy-net,cnn",3.6,3.2,3.8
"Firstly, surveillance technology is useful in crime investigation and public issues.","Firstly, surveillance technology is useful in crime investigations and public issues.","4,4,3,4,4","4,4,3,4,3","4,4,4,4,4",cnn,3.8,3.6,4.0
"Times change, people change.","Times change, people change.","4,4,4,4,3","4,4,4,4,2","4,4,4,4,4","copy-net,cnn",3.8,3.6,4.0
"And if people in society do not want to care for their elderly, nothing will be done for them.","And if people in society do not want to care for their elderly, nothing will be done for them.","4,4,4,4,2","4,4,4,4,2","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.6,3.6,4.0
"In any period of time, as long as we do not offense others, we should enjoy the right of privacy.","In any period of time, as long as we do not offense others, we should enjoy the right of privacy.","3,3,3,3,2","3,3,3,3,1","4,4,4,4,4","lstm,copy-net,cnn",2.8,2.6,4.0
Many advantages have been shown in the areas like politics.,Many advantages have been shown in the areas like politics.,"4,3,4,3,3","4,2,4,3,3","4,4,4,4,4","smt,cnn",3.4,3.2,4.0
"In China, things like that will happen because the legal system is not sound enough.","In China, things like that will happen because the legal system does not sound enough.","3,2,1,2,1","3,2,1,2,2","3,1,2,3,1","lstm,copy-net,transformer,cnn",1.8,2.0,2.0
"In work places, electronic devices such as computers are also inevitable to use to increase the productivity of the corporation.","In work places, electronic devices such as computers are also inevitable to use to increase the productivity of the corporation.","4,4,4,3,3","4,3,2,3,2","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.6,2.8,4.0
"In conclusion, what I have mentioned above, we have to agree, tracking system has many benefits in different parts in humans life especially in this modern world.","In conclusion, what I have mentioned above, we have to agree, tracking system has many benefits in different parts in human life especially in this modern world.","3,2,2,1,3","4,2,3,2,2","4,4,3,4,4",smt,2.2,2.6,3.8
"When surveillance technology like RFID brings lots of convenience to our life, some people argue that this kind of technology actually makes us feel unsafe.","When surveillance technology like RFID brings lots of convenience to our lives, some people argue that this kind of technology actually makes us feel unsafe.","4,4,4,3,3","4,4,3,3,3","4,4,4,3,4","copy-net,transformer",3.6,3.4,3.8
"When I have such feelings, I will feel that I am not belongs to human beings as everyone else any longer, instead, I am like a pet or a tool to be made fun of by others.","When I have such feelings, I will feel that I am not belongs to human beings as everyone else any longer, instead, I am like a pet or a tool to be made fun of by others.","3,2,2,2,2","3,2,2,2,2","4,4,4,4,4","smt,copy-net,cnn",2.2,2.2,4.0
"Even our applications in our Iphones or other smartphones, our I-pad can easily revealed our locations.","Even our apps in our iPhones or other smartphones, our I-pad can easily reveal our locations.","4,3,4,2,2","4,3,4,3,2","4,4,3,3,4",lstm,3.0,3.2,3.6
It is highly plausible that the results for increase are the same as the developed countries.,It is highly plausible that the results for increase are the same as the developed countries.,"4,3,4,1,3","4,2,4,2,3","4,4,4,4,4","smt,copy-net",3.0,3.0,4.0
This also works and we have also seen the effect.,This also works and we have also seen the effect.,"4,4,3,3,2","4,4,3,3,2","4,4,4,4,4","lstm,cnn",3.2,3.2,4.0
They have a full control of their own lives.,They have full control of their own lives.,"4,4,4,4,4","4,4,4,4,4","4,4,3,3,4",copy-net,4.0,4.0,3.6
People in current era are described as demanding or having high level of life expectancies in another word.,People in the current era are described as demanding or having high levels of life expectancies in other words.,"4,3,3,3,3","4,3,3,2,3","4,3,3,3,4",smt,3.2,3.0,3.4
This would result in economic retardation and stagnation of a country.,This would result in economic retardation and stagnation of the country.,"4,4,4,4,4","4,4,4,4,4","4,2,3,3,3",smt,4.0,4.0,3.0
Therefore the challenge is that we need to maintain or improve the state of living is a huge challenge.,Therefore the challenge is that we need to maintain or improve the state of living . It is a huge challenge.,"4,4,4,3,4","4,3,4,3,4","4,3,2,3,1",copy-net,3.8,3.6,2.6
But the primary labor force as well as the work force is from the youth.,But the primary labor force as well as the work force is from youth.,"4,4,3,3,3","4,3,4,3,4","4,4,3,3,4",transformer,3.4,3.6,3.6
"Although surveillance technology should not be totally abandoned, regulations of using that is expected.","Although surveillance technology should not be totally abandoned, the regulations of using that are expected.","3,4,4,3,3","4,4,4,3,3","4,4,3,3,3",cnn,3.4,3.6,3.4
"Many factories will be deserted and many companies will go bankruptcy, and thus people's life condition will definitely get worse.","Many factories will be deserted and many companies will go bankrupt, and thus people's life conditions will definitely get worse.","4,4,4,4,4","4,4,4,4,4","4,4,3,3,4","smt,lstm,cnn",4.0,4.0,3.6
Now population aging is a trend.,Now an aging population is a trend.,"4,4,4,4,4","4,4,4,4,4","4,2,3,3,3",smt,4.0,4.0,3.0
"Second, the shortage of workforce can also endanger the development of the society.","Second, the shortage of workforce can also endanger the development of society.","4,4,4,3,4","4,3,4,3,4","4,4,4,3,4","transformer,cnn",3.8,3.6,3.8
"Although surveillance technology should not be totally abandoned, regulations of using that is expected.","Although surveillance technology should not be totally abandoned, regulations of using that is expected.","4,3,4,2,4","4,3,4,3,3","4,4,4,4,4","smt,lstm,copy-net",3.4,3.4,4.0
This will make the logistic process more effective and also prevent the occurrence of product lost because of the tracking.,This will make the logistic process more effective and also prevent the occurrence of products lost because of the tracking.,"4,4,4,4,4","4,3,4,4,4","4,4,3,3,4",lstm,4.0,3.8,3.6
Every coin has its two sides.,Every coin has two sides.,"4,4,4,4,4","4,4,4,4,4","4,3,3,3,4","copy-net,transformer,cnn",4.0,4.0,3.4
"But tracking people is very terrible choice, it sounds like people invented a 'prison' to jail themselves, people need homage and freedom.","But tracking people is very terrible choice, it sounds like people invented a 'prison' to jail themselves, people need homage and freedom.","4,3,2,2,3","4,2,3,3,4","4,4,4,4,4",smt,2.8,3.2,4.0
"For these older people, the society need man power and all kinds of resources to provide a better life for them.","For these older people, the society needs man power and all kinds of resources to provide a better life for them.","4,4,4,4,4","4,3,4,4,4","4,4,3,3,4","copy-net,transformer,cnn",4.0,3.8,3.6
"Therefore, people are generally less stressed in working.","Therefore, people are generally less stressed in working.","4,3,4,3,4","4,3,4,3,4","4,4,4,4,4","lstm,cnn",3.6,3.6,4.0
It is a big challenge to eliminate all the disease in the world and keeping the life span to grow as people do sick every moment.,It is a big challenge to eliminate all the disease in the world and keeping the life span to grow as people do sick every moment.,"3,2,2,2,2","3,2,3,2,2","4,4,4,4,4",cnn,2.2,2.4,4.0
The biggest difference between human and animals or any other objects is that we have self-esteem or we need the basic respect from our peer.,The biggest difference between humans and animals is that we have self-esteem or we need the basic respect from our peers.,"4,3,4,4,4","4,3,4,3,4","4,1,2,3,3",lstm,3.8,3.6,2.6
"It is well-known statistics that, generally, as a country develops the life expectancies increases.","It is well-known statistics that, generally, as a country develops life expectancy.","3,1,3,1,2","3,1,3,2,1","4,1,2,2,1",transformer,2.0,2.0,2.0
"Where every home houses an elderly, the future generations can learn and carry on their traditional and morale values.","Where every home houses an elderly, future generations can learn and carry on their traditional and moral values.","4,4,4,3,3","4,2,3,3,2","4,4,3,3,4",smt,3.6,2.8,3.6
There is needless to doubt that the medical technology has enhanced day by day.,There is needless doubt that medical technology has enhanced day by day.,"4,3,3,1,2","4,2,3,2,1","4,2,2,3,3",lstm,2.6,2.4,2.8
"Thus, rising life expectancy can be seen as an achievement of the Government's well-planned or managed schemes.","Thus, rising life expectancy can be seen as an achievement of the government's well-planned or managed schemes.","4,4,4,4,4","4,4,4,4,3","4,4,4,4,4","lstm,transformer",4.0,3.8,4.0
"It also indicates that the foods the people eat are nourishing and can decrease the amount of illness that can cause death, thus living longer.","It also indicates that the food the people eat is nourishing and can decrease the amount of illness that can cause death, thus living longer.","4,3,4,3,3","4,3,4,3,2","4,4,3,3,3",cnn,3.4,3.2,3.4
"However, the using of surveillance technology is usually done secretly, and a debate has been aroused today that whether surveillance technology should be abandoned.","However, the use of surveillance technology is usually done secretly, and debate has been aroused today whether surveillance technology should be abandoned.","4,4,4,4,4","4,4,4,3,4","4,4,2,3,4",smt,4.0,3.8,3.4
"In this, I mean that we can input this device implant into an animal or birds species, for us to track their movements and actions relating to our human research that can bring us to a new regime.","In this, I mean that we can input this device implant into an animal or birds species, for us to track their movements and actions relating to our human research that can bring us to a new regime.","3,4,3,2,3","3,3,3,2,2","4,4,4,4,4",smt,3.0,2.6,4.0
"According to article Lawful Interception, in US, every telecommunication companies have contract with FBI, requiring them to keep the phone call record easily searchable and accessible for FBI.","According to article Lawful Interception, in US, every telecommunication company has a contract with the FBI, requiring them to keep the phone call record easily searchable and accessible for the FBI.","4,3,4,3,3","4,3,4,3,2","4,4,3,3,3",cnn,3.4,3.2,3.4
Logistics and transportation are major areas of utilization for RFID technology.,Logistics and transportation are major areas of utilization for RFID technology.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,cnn",4.0,4.0,4.0
They are not contradicting with each other.,They are not contradicting with each other.,"4,3,4,3,4","4,3,4,3,3","4,4,4,4,4",lstm,3.6,3.4,4.0
This ability is not seen 40 years back where the technology advances were not as good as now.,This ability is not seen 40 years back where technology advances were not as good as it is now.,"4,3,4,3,3","4,3,4,3,2","4,4,3,3,4",transformer,3.4,3.2,3.6
"Hence, once RFID is widely used, people are very likely to spy on each other, which will destroy trust, respect and many moral values.","Hence, once RFID is widely used, people are very likely to spy on each other, which will destroy trust, respect and many moral values.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,copy-net,cnn",4.0,4.0,4.0
"Though tracking devices such as the applications in our smartphones these days can add fun and entertainment to our fast-living paced livings, this can be a double-edged sword.","Though tracking devices such as the applications in our smartphones these days can add fun and entertainment to our fast-living paced livings, this can be a double-edged sword.","3,4,3,3,4","3,4,3,3,4","4,4,4,4,4","smt,lstm,cnn",3.4,3.4,4.0
The challenge will be increase the quality of life while being environmentally sustainable.,The challenges will increase the quality of life while being environmentally sustainable.,"4,4,4,4,4","4,4,4,4,3","4,3,3,3,4",cnn,4.0,3.8,3.4
